Gateway  1 [storedPackets=165, expectedPackets=110, packetloss= 0, powerConsumed=32.49]
Gateway  1 [storedPackets=112, expectedPackets=120, packetloss= 7, powerConsumed=17.27]
Gateway  1 [storedPackets=125, expectedPackets=130, packetloss= 4, powerConsumed=18.03]
Gateway  1 [storedPackets=125, expectedPackets=130, packetloss= 4, powerConsumed=18.03]
Gateway  1 [storedPackets=103, expectedPackets=110, packetloss= 6, powerConsumed=15.68]
Gateway  1 [storedPackets=115, expectedPackets=120, packetloss= 4, powerConsumed=15.26]
Gateway  1 [storedPackets=108, expectedPackets=120, packetloss=10, powerConsumed=14.55]
Gateway  1 [storedPackets=97, expectedPackets=120, packetloss=19, powerConsumed=14.08]
Gateway  1 [storedPackets=114, expectedPackets=120, packetloss= 5, powerConsumed=15.02]
Gateway  1 [storedPackets=115, expectedPackets=120, packetloss= 4, powerConsumed=15.46]
Gateway  1 [storedPackets=124, expectedPackets=130, packetloss= 5, powerConsumed=18.09]
Gateway  1 [storedPackets=106, expectedPackets=110, packetloss= 4, powerConsumed=15.03]
Gateway  1 [storedPackets=118, expectedPackets=120, packetloss= 2, powerConsumed=18.33]
Gateway  1 [storedPackets=101, expectedPackets=120, packetloss=16, powerConsumed=14.22]
Gateway  1 [storedPackets=104, expectedPackets=110, packetloss= 5, powerConsumed=14.71]
Gateway  1 [storedPackets=123, expectedPackets=130, packetloss= 5, powerConsumed=17.16]
Gateway  1 [storedPackets=117, expectedPackets=120, packetloss= 3, powerConsumed=15.46]
Gateway  1 [storedPackets=115, expectedPackets=120, packetloss= 4, powerConsumed=15.36]
Gateway  1 [storedPackets=115, expectedPackets=120, packetloss= 4, powerConsumed=15.26]
Gateway  1 [storedPackets=118, expectedPackets=120, packetloss= 2, powerConsumed=15.57]
Gateway  1 [storedPackets=116, expectedPackets=120, packetloss= 3, powerConsumed=15.36]
Gateway  1 [storedPackets=105, expectedPackets=110, packetloss= 5, powerConsumed=14.93]
Gateway  1 [storedPackets=88, expectedPackets=130, packetloss=32, powerConsumed=16.61]
Gateway  1 [storedPackets=125, expectedPackets=130, packetloss= 4, powerConsumed=17.99]
Gateway  1 [storedPackets=114, expectedPackets=120, packetloss= 5, powerConsumed=15.16]
Gateway  1 [storedPackets=104, expectedPackets=120, packetloss=13, powerConsumed=14.71]
Gateway  1 [storedPackets=110, expectedPackets=120, packetloss= 8, powerConsumed=16.26]
Gateway  1 [storedPackets=94, expectedPackets=120, packetloss=22, powerConsumed=13.98]
Gateway  1 [storedPackets=106, expectedPackets=120, packetloss=12, powerConsumed=14.79]
Gateway  1 [storedPackets=111, expectedPackets=120, packetloss= 7, powerConsumed=15.06]
Gateway  1 [storedPackets=106, expectedPackets=110, packetloss= 4, powerConsumed=14.02]
Gateway  1 [storedPackets=99, expectedPackets=120, packetloss=18, powerConsumed=14.06]
Gateway  1 [storedPackets=115, expectedPackets=120, packetloss= 4, powerConsumed=15.36]
Gateway  1 [storedPackets=117, expectedPackets=120, packetloss= 3, powerConsumed=15.46]
Gateway  1 [storedPackets=106, expectedPackets=110, packetloss= 4, powerConsumed=14.91]
Gateway  1 [storedPackets=116, expectedPackets=120, packetloss= 3, powerConsumed=15.36]
Gateway  1 [storedPackets=108, expectedPackets=120, packetloss=10, powerConsumed=14.57]
Gateway  1 [storedPackets=118, expectedPackets=120, packetloss= 2, powerConsumed=15.57]
Gateway  1 [storedPackets=119, expectedPackets=120, packetloss= 1, powerConsumed=15.67]
Gateway  1 [storedPackets=107, expectedPackets=110, packetloss= 3, powerConsumed=12.78]
Gateway  1 [storedPackets=113, expectedPackets=120, packetloss= 6, powerConsumed=15.16]
Gateway  1 [storedPackets=110, expectedPackets=120, packetloss= 8, powerConsumed=15.18]
Gateway  1 [storedPackets=105, expectedPackets=110, packetloss= 5, powerConsumed=12.57]
Gateway  1 [storedPackets=88, expectedPackets=100, packetloss=12, powerConsumed=11.68]
Gateway  1 [storedPackets=108, expectedPackets=110, packetloss= 2, powerConsumed=15.12]
Gateway  1 [storedPackets=118, expectedPackets=120, packetloss= 2, powerConsumed=15.57]
Gateway  1 [storedPackets=111, expectedPackets=120, packetloss= 7, powerConsumed=14.85]
Gateway  1 [storedPackets=106, expectedPackets=110, packetloss= 4, powerConsumed=12.80]
Gateway  1 [storedPackets=117, expectedPackets=120, packetloss= 3, powerConsumed=15.46]
Gateway  1 [storedPackets=101, expectedPackets=110, packetloss= 8, powerConsumed=14.61]
Gateway  1 [storedPackets=117, expectedPackets=120, packetloss= 3, powerConsumed=15.24]
Gateway  1 [storedPackets=89, expectedPackets=120, packetloss=26, powerConsumed=13.15]
Gateway  1 [storedPackets=110, expectedPackets=120, packetloss= 8, powerConsumed=14.46]
Gateway  1 [storedPackets=111, expectedPackets=120, packetloss= 7, powerConsumed=14.76]
Gateway  1 [storedPackets=106, expectedPackets=110, packetloss= 4, powerConsumed=14.69]
Gateway  1 [storedPackets=105, expectedPackets=120, packetloss=13, powerConsumed=14.03]
Gateway  1 [storedPackets=110, expectedPackets=120, packetloss= 8, powerConsumed=14.73]
Gateway  1 [storedPackets=109, expectedPackets=110, packetloss= 1, powerConsumed=13.98]
Gateway  1 [storedPackets=95, expectedPackets=110, packetloss=14, powerConsumed=14.15]
Gateway  1 [storedPackets=115, expectedPackets=120, packetloss= 4, powerConsumed=15.04]
Gateway  1 [storedPackets=115, expectedPackets=120, packetloss= 4, powerConsumed=15.16]
Gateway  1 [storedPackets=116, expectedPackets=120, packetloss= 3, powerConsumed=15.27]
Gateway  1 [storedPackets=106, expectedPackets=120, packetloss=12, powerConsumed=14.52]
Gateway  1 [storedPackets=93, expectedPackets=110, packetloss=15, powerConsumed=11.92]
Gateway  1 [storedPackets=119, expectedPackets=120, packetloss= 1, powerConsumed=15.45]
Gateway  1 [storedPackets=116, expectedPackets=120, packetloss= 3, powerConsumed=15.14]
Gateway  1 [storedPackets=116, expectedPackets=120, packetloss= 3, powerConsumed=15.14]
Gateway  1 [storedPackets=118, expectedPackets=120, packetloss= 2, powerConsumed=15.35]
Gateway  1 [storedPackets=94, expectedPackets=100, packetloss= 6, powerConsumed=11.16]
Gateway  1 [storedPackets=117, expectedPackets=120, packetloss= 3, powerConsumed=15.24]
Gateway  1 [storedPackets=118, expectedPackets=120, packetloss= 2, powerConsumed=15.35]
Gateway  1 [storedPackets=111, expectedPackets=120, packetloss= 7, powerConsumed=14.88]
Gateway  1 [storedPackets=112, expectedPackets=120, packetloss= 7, powerConsumed=14.94]
Gateway  1 [storedPackets=101, expectedPackets=110, packetloss= 8, powerConsumed=12.16]
Gateway  1 [storedPackets=117, expectedPackets=120, packetloss= 3, powerConsumed=15.24]
Gateway  1 [storedPackets=104, expectedPackets=110, packetloss= 5, powerConsumed=13.80]
Gateway  1 [storedPackets=103, expectedPackets=110, packetloss= 6, powerConsumed=14.49]
Gateway  1 [storedPackets=93, expectedPackets=120, packetloss=22, powerConsumed=13.74]
Gateway  1 [storedPackets=113, expectedPackets=120, packetloss= 6, powerConsumed=14.96]
Gateway  1 [storedPackets=115, expectedPackets=120, packetloss= 4, powerConsumed=15.04]
Gateway  1 [storedPackets=113, expectedPackets=120, packetloss= 6, powerConsumed=14.96]
Gateway  1 [storedPackets=116, expectedPackets=120, packetloss= 3, powerConsumed=15.27]
Gateway  1 [storedPackets=91, expectedPackets=110, packetloss=17, powerConsumed=13.31]
Gateway  1 [storedPackets=94, expectedPackets=100, packetloss= 6, powerConsumed=13.27]
Gateway  1 [storedPackets=114, expectedPackets=120, packetloss= 5, powerConsumed=14.94]
Gateway  1 [storedPackets=126, expectedPackets=130, packetloss= 3, powerConsumed=18.18]
Gateway  1 [storedPackets=94, expectedPackets=100, packetloss= 6, powerConsumed=11.85]
Gateway  1 [storedPackets=90, expectedPackets=120, packetloss=25, powerConsumed=13.67]
Gateway  1 [storedPackets=121, expectedPackets=130, packetloss= 7, powerConsumed=17.22]
Gateway  1 [storedPackets=116, expectedPackets=120, packetloss= 3, powerConsumed=15.14]
Gateway  1 [storedPackets=114, expectedPackets=120, packetloss= 5, powerConsumed=15.06]
Gateway  1 [storedPackets=101, expectedPackets=110, packetloss= 8, powerConsumed=13.66]
Gateway  1 [storedPackets=106, expectedPackets=110, packetloss= 4, powerConsumed=12.50]
Gateway  1 [storedPackets=103, expectedPackets=130, packetloss=21, powerConsumed=15.82]
Gateway  1 [storedPackets=105, expectedPackets=120, packetloss=13, powerConsumed=14.41]
Gateway  1 [storedPackets=112, expectedPackets=120, packetloss= 7, powerConsumed=14.90]
