Gateway  1 [storedPackets=178, expectedPackets=120, packetloss= 6, powerConsumed=34.27]
Gateway  1 [storedPackets=197, expectedPackets=130, packetloss= 4, powerConsumed=39.81]
Gateway  1 [storedPackets=180, expectedPackets=120, packetloss= 3, powerConsumed=38.64]
Gateway  1 [storedPackets=177, expectedPackets=130, packetloss= 8, powerConsumed=37.42]
Gateway  1 [storedPackets=192, expectedPackets=140, packetloss= 5, powerConsumed=41.64]
Gateway  1 [storedPackets=151, expectedPackets=110, packetloss= 6, powerConsumed=31.37]
Gateway  1 [storedPackets=138, expectedPackets=110, packetloss= 5, powerConsumed=25.79]
Gateway  1 [storedPackets=177, expectedPackets=120, packetloss= 4, powerConsumed=34.17]
Gateway  1 [storedPackets=170, expectedPackets=120, packetloss= 4, powerConsumed=33.45]
Gateway  1 [storedPackets=185, expectedPackets=130, packetloss= 4, powerConsumed=37.71]
Gateway  1 [storedPackets=193, expectedPackets=130, packetloss= 5, powerConsumed=39.05]
Gateway  1 [storedPackets=180, expectedPackets=120, packetloss= 3, powerConsumed=34.47]
Gateway  1 [storedPackets=145, expectedPackets=120, packetloss=15, powerConsumed=33.44]
Gateway  1 [storedPackets=193, expectedPackets=130, packetloss= 3, powerConsumed=39.05]
Gateway  1 [storedPackets=185, expectedPackets=120, packetloss= 1, powerConsumed=34.98]
Gateway  1 [storedPackets=173, expectedPackets=130, packetloss= 7, powerConsumed=37.20]
Gateway  1 [storedPackets=168, expectedPackets=140, packetloss=15, powerConsumed=39.66]
Gateway  1 [storedPackets=139, expectedPackets=120, packetloss=14, powerConsumed=29.82]
Gateway  1 [storedPackets=171, expectedPackets=130, packetloss= 8, powerConsumed=36.39]
Gateway  1 [storedPackets=170, expectedPackets=120, packetloss= 5, powerConsumed=33.66]
Gateway  1 [storedPackets=146, expectedPackets=120, packetloss=12, powerConsumed=31.33]
Gateway  1 [storedPackets=175, expectedPackets=120, packetloss= 5, powerConsumed=33.96]
Gateway  1 [storedPackets=187, expectedPackets=130, packetloss= 6, powerConsumed=36.87]
Gateway  1 [storedPackets=159, expectedPackets=110, packetloss= 2, powerConsumed=32.09]
Gateway  1 [storedPackets=149, expectedPackets=120, packetloss=13, powerConsumed=32.64]
Gateway  1 [storedPackets=144, expectedPackets=110, packetloss= 4, powerConsumed=26.40]
Gateway  1 [storedPackets=140, expectedPackets=120, packetloss=14, powerConsumed=30.83]
Gateway  1 [storedPackets=162, expectedPackets=110, packetloss= 2, powerConsumed=32.19]
Gateway  1 [storedPackets=179, expectedPackets=120, packetloss= 3, powerConsumed=34.37]
Gateway  1 [storedPackets=174, expectedPackets=120, packetloss= 5, powerConsumed=33.96]
Gateway  1 [storedPackets=163, expectedPackets=120, packetloss= 8, powerConsumed=33.25]
Gateway  1 [storedPackets=166, expectedPackets=110, packetloss= 4, powerConsumed=33.61]
Gateway  1 [storedPackets=167, expectedPackets=110, packetloss= 3, powerConsumed=33.71]
Gateway  1 [storedPackets=165, expectedPackets=120, packetloss= 3, powerConsumed=32.94]
Gateway  1 [storedPackets=169, expectedPackets=110, packetloss= 4, powerConsumed=33.92]
Gateway  1 [storedPackets=179, expectedPackets=120, packetloss= 3, powerConsumed=34.37]
Gateway  1 [storedPackets=169, expectedPackets=120, packetloss= 3, powerConsumed=33.35]
Gateway  1 [storedPackets=176, expectedPackets=120, packetloss= 3, powerConsumed=34.06]
Gateway  1 [storedPackets=154, expectedPackets=110, packetloss= 4, powerConsumed=32.39]
Gateway  1 [storedPackets=174, expectedPackets=120, packetloss= 3, powerConsumed=33.86]
Gateway  1 [storedPackets=174, expectedPackets=110, packetloss= 0, powerConsumed=33.41]
Gateway  1 [storedPackets=182, expectedPackets=120, packetloss= 3, powerConsumed=34.67]
Gateway  1 [storedPackets=180, expectedPackets=120, packetloss= 3, powerConsumed=34.47]
Gateway  1 [storedPackets=122, expectedPackets=110, packetloss=13, powerConsumed=24.52]
Gateway  1 [storedPackets=154, expectedPackets=110, packetloss= 5, powerConsumed=27.42]
Gateway  1 [storedPackets=116, expectedPackets=100, packetloss=14, powerConsumed=23.82]
Gateway  1 [storedPackets=147, expectedPackets=120, packetloss=12, powerConsumed=32.13]
Gateway  1 [storedPackets=167, expectedPackets=120, packetloss= 3, powerConsumed=33.15]
Gateway  1 [storedPackets=178, expectedPackets=110, packetloss= 0, powerConsumed=33.82]
Gateway  1 [storedPackets=152, expectedPackets=110, packetloss= 5, powerConsumed=27.21]
Gateway  1 [storedPackets=178, expectedPackets=120, packetloss= 5, powerConsumed=34.27]
Gateway  1 [storedPackets=185, expectedPackets=120, packetloss= 3, powerConsumed=34.98]
Gateway  1 [storedPackets=171, expectedPackets=110, packetloss= 1, powerConsumed=33.10]
Gateway  1 [storedPackets=158, expectedPackets=120, packetloss= 4, powerConsumed=32.23]
Gateway  1 [storedPackets=185, expectedPackets=120, packetloss= 2, powerConsumed=34.98]
Gateway  1 [storedPackets=170, expectedPackets=110, packetloss= 3, powerConsumed=34.02]
Gateway  1 [storedPackets=184, expectedPackets=120, packetloss= 3, powerConsumed=34.88]
Gateway  1 [storedPackets=165, expectedPackets=120, packetloss= 1, powerConsumed=32.94]
Gateway  1 [storedPackets=147, expectedPackets=120, packetloss=12, powerConsumed=31.54]
Gateway  1 [storedPackets=172, expectedPackets=120, packetloss= 4, powerConsumed=33.66]
Gateway  1 [storedPackets=174, expectedPackets=120, packetloss= 4, powerConsumed=33.86]
Gateway  1 [storedPackets=155, expectedPackets=120, packetloss= 7, powerConsumed=33.15]
Gateway  1 [storedPackets=157, expectedPackets=120, packetloss= 2, powerConsumed=32.13]
Gateway  1 [storedPackets=123, expectedPackets=100, packetloss= 4, powerConsumed=24.01]
Gateway  1 [storedPackets=161, expectedPackets=110, packetloss= 6, powerConsumed=33.10]
Gateway  1 [storedPackets=147, expectedPackets=120, packetloss=12, powerConsumed=31.73]
Gateway  1 [storedPackets=122, expectedPackets=90, packetloss= 4, powerConsumed=24.59]
Gateway  1 [storedPackets=146, expectedPackets=110, packetloss= 5, powerConsumed=31.37]
Gateway  1 [storedPackets=159, expectedPackets=110, packetloss= 3, powerConsumed=27.93]
Gateway  1 [storedPackets=162, expectedPackets=120, packetloss= 7, powerConsumed=33.04]
Gateway  1 [storedPackets=143, expectedPackets=110, packetloss= 5, powerConsumed=26.30]
Gateway  1 [storedPackets=134, expectedPackets=120, packetloss=16, powerConsumed=29.76]
Gateway  1 [storedPackets=158, expectedPackets=110, packetloss= 7, powerConsumed=33.41]
Gateway  1 [storedPackets=179, expectedPackets=120, packetloss= 4, powerConsumed=34.37]
Gateway  1 [storedPackets=173, expectedPackets=120, packetloss= 3, powerConsumed=33.76]
Gateway  1 [storedPackets=178, expectedPackets=120, packetloss= 3, powerConsumed=34.27]
Gateway  1 [storedPackets=132, expectedPackets=110, packetloss=11, powerConsumed=30.46]
Gateway  1 [storedPackets=142, expectedPackets=110, packetloss=14, powerConsumed=31.49]
Gateway  1 [storedPackets=152, expectedPackets=110, packetloss= 5, powerConsumed=32.39]
Gateway  1 [storedPackets=169, expectedPackets=110, packetloss= 3, powerConsumed=32.90]
Gateway  1 [storedPackets=133, expectedPackets=110, packetloss= 8, powerConsumed=25.49]
Gateway  1 [storedPackets=173, expectedPackets=120, packetloss= 3, powerConsumed=33.86]
Gateway  1 [storedPackets=197, expectedPackets=130, packetloss= 5, powerConsumed=39.81]
Gateway  1 [storedPackets=185, expectedPackets=120, packetloss= 4, powerConsumed=34.98]
Gateway  1 [storedPackets=172, expectedPackets=110, packetloss= 4, powerConsumed=34.22]
Gateway  1 [storedPackets=167, expectedPackets=110, packetloss= 2, powerConsumed=33.71]
Gateway  1 [storedPackets=147, expectedPackets=120, packetloss= 7, powerConsumed=32.33]
Gateway  1 [storedPackets=170, expectedPackets=120, packetloss= 2, powerConsumed=32.65]
Gateway  1 [storedPackets=145, expectedPackets=100, packetloss= 1, powerConsumed=27.07]
Gateway  1 [storedPackets=204, expectedPackets=140, packetloss= 7, powerConsumed=42.61]
Gateway  1 [storedPackets=186, expectedPackets=130, packetloss= 5, powerConsumed=38.34]
Gateway  1 [storedPackets=123, expectedPackets=110, packetloss=15, powerConsumed=25.38]
Gateway  1 [storedPackets=149, expectedPackets=110, packetloss= 5, powerConsumed=26.91]
Gateway  1 [storedPackets=168, expectedPackets=120, packetloss= 7, powerConsumed=36.17]
Gateway  1 [storedPackets=161, expectedPackets=120, packetloss= 9, powerConsumed=33.15]
Gateway  1 [storedPackets=152, expectedPackets=110, packetloss= 1, powerConsumed=27.21]
